"Agrupación","AverageShortestPathLength","BetweennessCentrality","Categoría","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Grupo Regional","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","ODS","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"EFS","3.50381679389313","3.543874136186108E-4","","0.28540305010893247","0.0","2","6","AFROSAI","false","Zambia","Zambia","13.5","0","2","","0","0.9701926572155579","false","0","Zambia","2128","0.5"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Yemen","Yemen","0.0","0","0","","0","Infinity","false","0","Yemen","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Western Australia","Western Australia","0.0","0","0","","0","Infinity","false","0","Western Australia","0","0.0"
"EFS","3.946564885496183","1.1552856595293539E-4","","0.25338491295938104","0.0","2","6","ASOSAI","false","Vietnam","Vietnam","10.5","0","2","","0","0.9649218466012359","false","0","Vietnam","536","0.6333333333333333"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Victoria","Victoria","0.0","0","0","","0","Infinity","false","0","Victoria","0","0.0"
"EFS","2.801526717557252","0.013017670528459186","","0.3569482288828338","0.0","13","5","OLACEFS","false","Venezuela","Venezuela","19.615384615384617","0","13","","0","0.9785532533624137","false","0","Venezuela","97170","0.2270168855534709"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Vanuatu","Vanuatu","0.0","0","0","","0","Infinity","false","0","Vanuatu","0","0.0"
"EFS","3.4427480916030535","0.0022135042824074475","","0.29046563192904656","0.0","4","7","OLACEFS","false","Uruguay","Uruguay","22.75","0","4","","0","0.9709196655761542","false","0","Uruguay","5156","0.41037735849056606"
"EFS","3.50381679389313","1.4739603816062716E-4","","0.28540305010893247","0.0","2","6","AFROSAI","false","Uganda","Uganda","19.0","0","2","","0","0.9701926572155579","false","0","Uganda","2106","0.72"
"EFS","2.9083969465648853","0.004908678109409069","","0.34383202099737536","0.0","9","5","EUROSAI","false","Ucrania","Ucrania","16.0","0","9","","1","0.9772809887313704","false","0","Ucrania","31006","0.2054794520547945"
"EFS","3.7709923664122136","4.2714371618594085E-4","","0.2651821862348178","0.0","2","6","PASAI","false","Tuvalu","Tuvalu","12.5","0","2","","0","0.9670119956379498","false","0","Tuvalu","27814","0.8214285714285714"
"EFS","3.3435114503816794","6.057912865148569E-4","","0.2990867579908676","0.0","6","6","EUROSAI","false","Turquia","Turquia","15.8","0","6","","1","0.9721010541621228","false","0","Turquia","3644","0.4111111111111111"
"EFS","3.8396946564885495","9.59205244881508E-4","","0.26043737574552683","0.0","2","6","ARABOSAI","false","Tunisia","Tunisia","5.5","0","2","","0","0.9661941112322792","false","0","Tunisia","20630","0.5"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Tunez","Tunez","0.0","0","0","","0","Infinity","false","0","Tunez","0","0.0"
"EFS","4.786259541984733","4.710897440049447E-4","","0.20893141945773525","0.0","2","7","CAROSAI","false","Trinidad y Tabago","Trinidad y Tabago","5.0","0","2","","0","0.9549254816430389","false","0","Trinidad y Tabago","2506","0.5"
"EFS","3.763358778625954","9.181417218708838E-4","","0.2657200811359026","0.0","3","6","PASAI","false","Tonga","Tonga","9.666666666666666","0","3","","0","0.9671028716830243","false","0","Tonga","48626","0.6190476190476191"
"EFS","3.50381679389313","1.4739603816062716E-4","","0.28540305010893247","0.0","2","6","AFROSAI","false","Togo","Togo","19.0","0","2","","0","0.9701926572155579","false","0","Togo","2106","0.72"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Timor-Leste","Timor-Leste","0.0","0","0","","0","Infinity","false","0","Timor-Leste","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","TChad","TChad","0.0","0","0","","0","Infinity","false","0","TChad","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Tayikistan","Tayikistan","0.0","0","0","","0","Infinity","false","0","Tayikistan","0","0.0"
"EFS","3.3282442748091605","6.772952726282633E-4","","0.30045871559633025","0.0","4","6","AFROSAI","false","Tanzania","Tanzania","18.333333333333332","0","4","","1","0.9722828062522718","false","0","Tanzania","5332","0.5252525252525253"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Tailandia","Tailandia","0.0","0","0","","0","Infinity","false","0","Tailandia","0","0.0"
"EFS","3.7404580152671754","0.0012403843265286329","","0.26734693877551025","0.0","2","6","CAROSAI","false","Suriname","Suriname","8.5","0","2","","0","0.9673754998182479","false","0","Suriname","13010","0.6818181818181818"
"EFS","3.045801526717557","0.004132939080331859","","0.32832080200501257","0.0","4","6","OLACEFS","false","Suiza","Suiza","21.0","0","4","","0","0.9756452199200292","false","0","Suiza","15582","0.31746031746031744"
"EFS","3.1068702290076335","6.665317628701603E-4","","0.32186732186732187","0.0","3","6","OLACEFS","false","Suecia","Suecia","22.333333333333332","0","3","","0","0.9749182115594328","false","0","Suecia","5646","0.38095238095238093"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Sudan del Sur","Sudan del Sur","0.0","0","0","","0","Infinity","false","0","Sudan del Sur","0","0.0"
"EFS","3.519083969465649","0.0011276483930906678","","0.2841648590021692","0.0","2","6","AFROSAI","false","Sudan","Sudan","14.0","0","2","","0","0.9700109051254089","false","0","Sudan","1796","0.5"
"EFS","3.3282442748091605","6.772952726282633E-4","","0.30045871559633025","0.0","4","6","AFROSAI","false","Sudafrica","Sudafrica","18.333333333333332","0","4","","1","0.9722828062522718","false","0","Sudafrica","5332","0.5252525252525253"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Sri Lanka","Sri Lanka","0.0","0","0","","0","Infinity","false","0","Sri Lanka","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Somalia","Somalia","0.0","0","0","","0","Infinity","false","0","Somalia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Singapur","Singapur","0.0","0","0","","0","Infinity","false","0","Singapur","0","0.0"
